Control	GCM
NA	25996
270488	201205
318252	100159
389313	217229
60124	492863
80784	476773
38251	263586
256012	286806
136264	512731
158427	112736
22632	413110
45215	207687
12604	366019
244104	411487
153931	18348
23736	79117
19877	260909
116858	324379
229077	174639
198811	24556
81969	338544
70938	31002
27052	328405
NA	54599
36563	46583
80310	115215
186202	127463
220574	15676
136692	518503
35908	30261
16474	101362
87253	60166
125446	485422
108324	535478
30375	154621
137586	48505
118643	20797
121855	189274
NA	484196
349567	370483
273457	24210
38184	48014
62644	156729
236991	39896
49446	231601
NA	316488
207755	42969
36284	298660
26728	278967
251369	39765
131787	99495
237598	31024
183227	206929
73135	65514
54120	369913
73945	50819
36399	25256
36544	231888
20388	309556
63156	252116
NA	195476
52949	41674
119489	188439
430396	377891
18148	72262
62917	56565
169732	57065
130467	131558
53699	355994
15668	107259
22794	42286
36432	65766
81631	232353
40900	143693
61441	460388
263124	175897
193666	62980
29566	NA
137624	28167
245998	270586
NA	270586
26112	228643
27699	155447
132601	151958
253955	96181
328732	140567
175695	86193
39088	258949
228853	304488
134334	257462
68410	279760
115333	17820
47248	24474
383679	174581
97194	385505
82975	255862
185564	309119
43004	65760
166045	496509
35156	85829
355909	9683
221345	91491
36747	133644
26993	102280
220042	42256
193751	220886
24025	38136
65738	199863
39279	33953
105729	103600
52950	39182
244855	232519
70297	27750
88060	30449
6397	219783
30860	134403
74815	48861
17237	65455
43413	206409
130761	136154
25870	242213
71160	38631
20413	72111
74472	400593
389129	84802
204808	176761
63436	449512
143669	78380
30116	572965
10631	37559
55194	85864
26945	38761
16487	598962
25233	282506
46953	67004
123725	76684
11721	88287
26966	17991
50720	232237
16789	42126
89795	345136
66721	117062
146538	558954
NA	282306
16727	NA
141963	NA
16128	NA
105171	NA
50043	NA
97839	NA
244626	NA
NA	NA
48159	NA
193643	NA
82266	NA
61497	NA
90690	NA
317316	NA
18061	NA
208561	NA
152444	NA
296334	NA
21620	NA
306178	NA
154314	NA
19326	NA
60075	NA
50165	NA
210114	NA
9513	NA
10616	NA
67432	NA
9373	NA
302630	NA
35634	NA
143358	NA
59559	NA
125058	NA
40641	NA
78649	NA
19034	NA
9208	NA
82988	NA
189135	NA
127032	NA
17206	NA
39060	NA
97810	NA
139372	NA
31773	NA
47192	NA
20133	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
